,0
0,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=169324
1,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=169474
2,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=171311
3,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=167869
4,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=171475
5,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=171170
6,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=169734
7,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=171169
8,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=171329
9,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127790
10,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127485
11,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127714
12,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127731
13,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127682
14,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127716
15,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127613
16,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127780
17,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127813
18,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127729
19,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127739
20,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127804
21,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127026
22,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127814
23,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127808
24,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127789
25,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127817
26,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127028
27,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127381
28,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127805
29,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127591
30,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127201
31,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127681
32,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127493
33,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=163678
34,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=163914
35,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=163957
